id,title,creator,year,url,access_date,type,technology,interaction_level,textuality,versioning,language,metadata_source,preservation_status,license,one_sentence_description
ELIT001,c-ya-laterrrr,Dan Hett,2017,https://danhett.itch.io/c-ya-laterrrr,1/10/2026,hypertext,HTML5; twine,high,non-linear,stable,English,Electronic Literature Organization,live,© Dan Hett – All Rights Reserved,"A hypertext game based on a real experience of the Manchester Arena attack, exploring grief, choice, and what-ifs through branching paths that converge, with warnings for distressing content."
ELIT002,The Infinite Woman,Katie Schaag,2019,https://www.theinfinitewoman.com/,1/10/2026,visual poetry,python; typescript; javascript; html; css,high,modular,stable,English,Electronic Literature Organization,live,Copyright Katie Schaag – All Rights Reserved,"An interactive feminist web app that algorithmically remixes Marshall and Beauvoir into infinite scrolling text, visual erasure, and a canvas where users create their own erasure poems."
ELIT003,"Please, don’t touch me!","René Bauer, Beat Suter",2019,https://pleasedonttouch.and-or.ch/,1/10/2026,procedural rhetoric,unity,high,non-linear,stable,English,Electronic Literature Organization,live,"© 2019 René Bauer, Beat Suter – All Rights Reserved","An artgame about absolute player control, where harassing an AI avatar exposes bullying in games and social media, escalating emotional unrest until the system collapses into submission."
ELIT004,MEMORIAS,Jessica Arianne Rodríguez Cabrera,2018-2021,https://github.com/jac307/MEMORIAS,1/10/2026,live coding,haskell; tidal cycles; hydra; cinecer0; punctual,high,modular,multiple versions,English; Spanish,Electronic Literature Organization,archieved,GNU General Public License v3.0,"An audiovisual live-coding project using six esolangs that mix natural and computational language to transform autobiographical texts into evolving sound, voice, and visual performances."
ELIT005,LiveSpoken : A CoPo Jam Rendition,Kofi Oduro (Illestpreacha),2020,https://youtu.be/uheWC-9Ren4?t=3715,1/10/2026,live coding,hydra; sonicpi,medium,modular,stable,English,Electronic Literature Organization,archieved,YouTube Standard License,"A live performance where improvised live-coding in Sonic Pi meets hip-hop cypher culture, blending real-time coding, songwriting, and freestyle vocals beyond the screen."
ELIT006,The Gathering Cloud,J. R. Carpenter,2016,http://luckysoap.com/thegatheringcloud,1/10/2026,hypertext,HTML; css; javascript,medium,modular,stable,English,Electronic Literature Organization,live,© J. R. Carpenter – All Rights Reserved,A hypertext poetry project using animated cloud imagery and environmental texts to expose the material and ecological costs hidden behind the metaphor of digital “cloud” storage.
ELIT007,forgotten nights,Peter Hebden,2019,https://sidestep.me/night-poem-2/,1/10/2026,audio poetry,javascript; html; css; jquery,medium,modular,stable,English,Electronic Literature Organization,live,© 2019 Peter Hebden – All Rights Reserved,"A recombinatory audio poem where adding or removing stars from an interactive night sky alters the spoken text, exploring memory through oral performance and digital interactivity."
ELIT008,SONAR,"Daniela Côrtes Maduro, Sérgio Rebelo, João Couceiro e Castro, Pedro Martins",2020,https://sonar.dei.uc.pt/,1/10/2026,generative,javascript,high,modular,stable,Portuguese; English,Electronic Literature Organization,live,© 2020 SONAR Project – All Rights Reserved,"A web-based interactive artwork using generative audiovisuals to explore testimonies of Portugal’s Carnation Revolution, mapping history through sound, text, and visual markers."
ELIT009,a kiss,Dan Waber,2013,https://collection.eliterature.org/4/works/a-kiss/a-kiss.html,1/10/2026,hypertext,twine,medium,non-linear,stable,English,Electronic Literature Organization,archieved,Copyright © 2013 Dan Waber – All Rights Reserved,"A novel-length hypertext love story, celebrated as Twine’s largest project, widely studied in digital literature courses."
ELIT010,my Dear coUntess: a letter to lord kelvin,Danny Snelson,2007,http://my-dear-countess.blogspot.com/,1/10/2026,hypertext,HTML; css,low,modular,stable,English,Electronic Literature Organization,partially broken,© Danny Snelson – All Rights Reserved,"A streaming web poem that recomposes Alfred Jarry word by word from linked video texts, embracing constraint, failure, and play to explore connection within impossible systems."
ELIT011,A Modern Ghost,Artemio Morales,2017,https://www.altsalt.com/a-modern-ghost/,1/10/2026,webcomic,unity; c#; adobe illustrator; adobe indesign; adobe photoshop,medium,linear,stable,English,Electronic Literature Organization,live,© 2017 Artemio Morales – All Rights Reserved,"A digital short story using a 3D touch-controlled canvas to explore environment and navigation, breaking page-based norms while offering an interactive, aesthetically engaging experience."
ELIT012,peaceful dream,Ottar Ormstad,2020,https://vimeo.com/397226703,1/10/2026,visual poetry,final cut pro,low,linear,stable,Chinese,Electronic Literature Organization,archieved,Vimeo On Demand – Standard License,"A Chinese-language adaptation of a book using scattered Norwegian words, images, video, and music to create a poetic, nature-inspired, and meditative “peaceful dream” experience."
ELIT013,Blackout Poetry Tool,Jazer Chand,2020,https://blackout-poetry-tool.github.io/,1/10/2026,generative,javascript; css; html; rita,medium,modular,updated,English,Electronic Literature Organization,live,MIT License,"A blackout poetry tool exploring human-computer dichotomies, letting users create poems alongside an AI by navigating intuition vs. logic, emotion vs. mechanics, and other binary contrasts."
ELIT014,The Offline Website Project,Alex Saum,2019-2020,http://www.alexsaum.com/the-offline-website-project/,1/10/2026,hypertext,HTML,low,modular,stable,English,Electronic Literature Organization,partially broken,Copyright © Alex Saum – All Rights Reserved,"A series of locally hosted websites accessible only at the artist’s home, creating non-replicable, site-specific digital works documented via video for limited public experience."
ELIT015,Not_A_Number,Xavier Leton,2019-2021,http://villesallantvers.org/lig_mrs_lig/,1/10/2026,hypertext,HTML; css; adobe premiere; adobe after effects; google maps itinerary maker,medium,modular,stable,French; English,Electronic Literature Organization,live,© Xavier Leton – All Rights Reserved,"Shared, non-commercial works by Xavier Leton, presented online, in performances, and installations, emphasizing public engagement and the creative experience over profit."
ELIT016,Please Answer Carefully,litrouke,2019,https://litrouke.itch.io/please-answer-carefully,1/10/2026,interactive fiction,twine,medium,non-linear,stable,English; Italian; Spanish; Polish; Turkish; Swedish; Indonesian; Korean; Arabic; Portuguese; Russian; German; French; Japanese; Hungarian; Romanian; Dutch; Greek; Simplified Chinese,Electronic Literature Organization,live,© litrouke – All Rights Reserved,"This game explores the horror of the mundane - specifically, the act of taking another mind-numbing survey online - and draws on fears of stalking, control, and surveillance."
ELIT017,Remixing Shakespeare: A Netprov in Three Acts,Joellyn Rock,2018,https://joellynrock.com/portfolio/remix-shakespeare-netprov/,1/10/2026,netprov,processing; final cut pro,medium,modular,archieved,English,Electronic Literature Organization,archieved,© Joellyn Rock – All Rights Reserved,"A participatory netprov remixing Shakespearean character conflicts with contemporary power dynamics, letting remote writers add text that interacts with looping experimental videos in three acts."
ELIT018,The Buoy,Meredith Morran,2019,https://vimeo.com/342426574/a3b1809cd3,1/10/2026,visual poetry,adobe indesign; adobe premiere,low,linear,stable,English,Electronic Literature Organization,archieved,© Meredith Morran – All Rights Reserved,"A poetic auto-fiction presented as a diagram-driven PowerPoint, using concrete poetry and theory to explore queer identity, communication, and navigating social and political barriers."
ELIT019,How to Rob a Bank,alan bigelow,2016,https://webyarns.com/howto/howto.html,1/10/2026,narrative,HTML5; css; javascript,medium,linear,stable,English,Electronic Literature Organization,live,© alan bigelow – All Rights Reserved,"A digital narrative following a novice bank robber and his accomplice, unfolding through their phone searches, texts, apps, and games."
ELIT020,Writers Are Not Strangers,Lynda Clark,2018,https://dashingdon.com/play/lclark10000/writers-are-not-strangers-alpha/mygame/,1/10/2026,generative,choicescript,medium,non-linear,updated,English,Electronic Literature Organization,live,© Lynda Clark – All Rights Reserved,"An interactive novella exploring reader-writer dynamics, blending multiple beginnings and endings with randomized, adaptive gameplay that balances player and character agency."
